Curso;Dia;Dia semana;Tipo
;25/07/2013;J;VAC
;26/07/2013;V;VAC
;27/07/2013;S;FDS
;28/07/2013;D;FDS
;29/07/2013;L;VAC
;30/07/2013;M;VAC
;31/07/2013;X;VAC
;01/08/2013;J;VAC
;02/08/2013;V;VAC
;03/08/2013;S;FDS
;04/08/2013;D;FDS
;05/08/2013;L;VAC
;06/08/2013;M;VAC
;07/08/2013;X;VAC
;08/08/2013;J;VAC
;09/08/2013;V;VAC
;10/08/2013;S;FDS
;11/08/2013;D;FDS
;12/08/2013;L;VAC
;13/08/2013;M;VAC
;14/08/2013;X;VAC
;15/08/2013;J;VAC
;16/08/2013;V;VAC
;17/08/2013;S;FDS
;18/08/2013;D;FDS
;19/08/2013;L;
;20/08/2013;M;
;21/08/2013;X;
;22/08/2013;J;
;23/08/2013;V;
;24/08/2013;S;FDS
;25/08/2013;D;FDS
;26/08/2013;L;
;27/08/2013;M;
;28/08/2013;X;
;29/08/2013;J;
;30/08/2013;V;
;31/08/2013;S;FDS
;01/09/2013;D;FDS
;02/09/2013;L;
;03/09/2013;M;
;04/09/2013;X;
;05/09/2013;J;
;06/09/2013;V;
;07/09/2013;S;FDS
;08/09/2013;D;FDS
;09/09/2013;L;VAC
13/14;10/09/2013;M;VUELTA VAC
13/14;11/09/2013;X;
13/14;12/09/2013;J;
13/14;13/09/2013;V;
;14/09/2013;S;FDS
;15/09/2013;D;FDS
13/14;16/09/2013;L;
13/14;17/09/2013;M;
13/14;18/09/2013;X;
13/14;19/09/2013;J;
13/14;20/09/2013;V;
;21/09/2013;S;FDS
;22/09/2013;D;FDS
13/14;23/09/2013;L;
13/14;24/09/2013;M;
13/14;25/09/2013;X;
13/14;26/09/2013;J;
13/14;27/09/2013;V;
;28/09/2013;S;FDS
;29/09/2013;D;FDS
13/14;30/09/2013;L;
13/14;01/10/2013;M;
13/14;02/10/2013;X;
13/14;03/10/2013;J;
13/14;04/10/2013;V;
;05/10/2013;S;FDS
;06/10/2013;D;FDS
13/14;07/10/2013;L;
13/14;08/10/2013;M;
13/14;09/10/2013;X;
13/14;10/10/2013;J;
13/14;11/10/2013;V;
;12/10/2013;S;FDS
;13/10/2013;D;FDS
13/14;14/10/2013;L;
13/14;15/10/2013;M;
13/14;16/10/2013;X;
13/14;17/10/2013;J;
13/14;18/10/2013;V;
;19/10/2013;S;FDS
;20/10/2013;D;FDS
13/14;21/10/2013;L;
13/14;22/10/2013;M;
13/14;23/10/2013;X;
13/14;24/10/2013;J;
13/14;25/10/2013;V;
;26/10/2013;S;FDS
;27/10/2013;D;FDS
13/14;28/10/2013;L;
13/14;29/10/2013;M;
13/14;30/10/2013;X;
13/14;31/10/2013;J;
;01/11/2013;V;FEST
;02/11/2013;S;FDS
;03/11/2013;D;FDS
13/14;04/11/2013;L;
13/14;05/11/2013;M;
13/14;06/11/2013;X;
13/14;07/11/2013;J;
13/14;08/11/2013;V;
;09/11/2013;S;FDS
;10/11/2013;D;FDS
13/14;11/11/2013;L;
13/14;12/11/2013;M;
13/14;13/11/2013;X;
13/14;14/11/2013;J;
13/14;15/11/2013;V;
;16/11/2013;S;FDS
;17/11/2013;D;FDS
13/14;18/11/2013;L;
13/14;19/11/2013;M;
13/14;20/11/2013;X;
13/14;21/11/2013;J;
13/14;22/11/2013;V;
;23/11/2013;S;FDS
;24/11/2013;D;FDS
13/14;25/11/2013;L;
13/14;26/11/2013;M;
13/14;27/11/2013;X;
13/14;28/11/2013;J;
13/14;29/11/2013;V;
;30/11/2013;S;FDS
;01/12/2013;D;FDS
13/14;02/12/2013;L;
13/14;03/12/2013;M;
13/14;04/12/2013;X;
13/14;05/12/2013;J;
;06/12/2013;V;FEST
;07/12/2013;S;FDS
;08/12/2013;D;FDS
13/14;09/12/2013;L;
13/14;10/12/2013;M;
13/14;11/12/2013;X;
13/14;12/12/2013;J;
13/14;13/12/2013;V;
;14/12/2013;S;FDS
;15/12/2013;D;FDS
13/14;16/12/2013;L;
13/14;17/12/2013;M;
13/14;18/12/2013;X;
13/14;19/12/2013;J;
13/14;20/12/2013;V;VISP VAC
;21/12/2013;S;FDS
;22/12/2013;D;FDS
;23/12/2013;L;VAC
;24/12/2013;M;VAC
;25/12/2013;X;VAC
;26/12/2013;J;VAC
;27/12/2013;V;VAC
;28/12/2013;S;FDS
;29/12/2013;D;FDS
;30/12/2013;L;VAC
;31/12/2013;M;VAC
;01/01/2014;X;VAC
;02/01/2014;J;VAC
;03/01/2014;V;VAC
;04/01/2014;S;FDS
;05/01/2014;D;FDS
;06/01/2014;L;VAC
;07/01/2014;M;VAC
13/14;08/01/2014;X;VUELTA VAC
13/14;09/01/2014;J;
13/14;10/01/2014;V;
;11/01/2014;S;FDS
;12/01/2014;D;FDS
13/14;13/01/2014;L;
13/14;14/01/2014;M;
13/14;15/01/2014;X;
13/14;16/01/2014;J;
13/14;17/01/2014;V;
;18/01/2014;S;FDS
;19/01/2014;D;FDS
13/14;20/01/2014;L;
13/14;21/01/2014;M;
13/14;22/01/2014;X;
13/14;23/01/2014;J;
13/14;24/01/2014;V;
;25/01/2014;S;FDS
;26/01/2014;D;FDS
13/14;27/01/2014;L;
13/14;28/01/2014;M;
13/14;29/01/2014;X;
13/14;30/01/2014;J;
;31/01/2014;V;NL
;01/02/2014;S;FDS
;02/02/2014;D;FDS
13/14;03/02/2014;L;
13/14;04/02/2014;M;
13/14;05/02/2014;X;
13/14;06/02/2014;J;
13/14;07/02/2014;V;
;08/02/2014;S;FDS
;09/02/2014;D;FDS
13/14;10/02/2014;L;
13/14;11/02/2014;M;
13/14;12/02/2014;X;
13/14;13/02/2014;J;
13/14;14/02/2014;V;
;15/02/2014;S;FDS
;16/02/2014;D;FDS
13/14;17/02/2014;L;
13/14;18/02/2014;M;
13/14;19/02/2014;X;
13/14;20/02/2014;J;
13/14;21/02/2014;V;
;22/02/2014;S;FDS
;23/02/2014;D;FDS
13/14;24/02/2014;L;
13/14;25/02/2014;M;
13/14;26/02/2014;X;
13/14;27/02/2014;J;
;28/02/2014;V;NL
;01/03/2014;S;FDS
;02/03/2014;D;FDS
13/14;03/03/2014;L;
13/14;04/03/2014;M;
13/14;05/03/2014;X;
13/14;06/03/2014;J;
13/14;07/03/2014;V;
;08/03/2014;S;FDS
;09/03/2014;D;FDS
13/14;10/03/2014;L;
13/14;11/03/2014;M;
13/14;12/03/2014;X;
13/14;13/03/2014;J;
13/14;14/03/2014;V;
;15/03/2014;S;FDS
;16/03/2014;D;FDS
13/14;17/03/2014;L;
13/14;18/03/2014;M;
13/14;19/03/2014;X;
13/14;20/03/2014;J;
13/14;21/03/2014;V;
;22/03/2014;S;FDS
;23/03/2014;D;FDS
13/14;24/03/2014;L;
13/14;25/03/2014;M;
13/14;26/03/2014;X;
13/14;27/03/2014;J;
13/14;28/03/2014;V;
;29/03/2014;S;FDS
;30/03/2014;D;FDS
13/14;31/03/2014;L;
13/14;01/04/2014;M;
13/14;02/04/2014;X;
13/14;03/04/2014;J;
13/14;04/04/2014;V;
;05/04/2014;S;FDS
;06/04/2014;D;FDS
13/14;07/04/2014;L;
13/14;08/04/2014;M;
13/14;09/04/2014;X;
13/14;10/04/2014;J;VISP VAC
;11/04/2014;V;VAC
;12/04/2014;S;FDS
;13/04/2014;D;FDS
;14/04/2014;L;VAC
;15/04/2014;M;VAC
;16/04/2014;X;VAC
;17/04/2014;J;VAC
;18/04/2014;V;VAC
;19/04/2014;S;FDS
;20/04/2014;D;FDS
;21/04/2014;L;VAC
13/14;22/04/2014;M;VUELTA VAC
13/14;23/04/2014;X;
13/14;24/04/2014;J;
13/14;25/04/2014;V;
;26/04/2014;S;FDS
;27/04/2014;D;FDS
13/14;28/04/2014;L;
13/14;29/04/2014;M;
13/14;30/04/2014;X;
;01/05/2014;J;FEST
;02/05/2014;V;NL
;03/05/2014;S;FDS
;04/05/2014;D;FDS
13/14;05/05/2014;L;
13/14;06/05/2014;M;
13/14;07/05/2014;X;
13/14;08/05/2014;J;
;09/05/2014;V;SD
;10/05/2014;S;FDS
;11/05/2014;D;FDS
13/14;12/05/2014;L;
13/14;13/05/2014;M;
13/14;14/05/2014;X;
13/14;15/05/2014;J;
13/14;16/05/2014;V;
;17/05/2014;S;FDS
;18/05/2014;D;FDS
13/14;19/05/2014;L;
13/14;20/05/2014;M;
13/14;21/05/2014;X;
13/14;22/05/2014;J;
13/14;23/05/2014;V;
;24/05/2014;S;FDS
;25/05/2014;D;FDS
13/14;26/05/2014;L;
13/14;27/05/2014;M;
13/14;28/05/2014;X;
13/14;29/05/2014;J;
;30/05/2014;V;NL
;31/05/2014;S;FDS
;01/06/2014;D;FDS
13/14;02/06/2014;L;
13/14;03/06/2014;M;
13/14;04/06/2014;X;
13/14;05/06/2014;J;
13/14;06/06/2014;V;
;07/06/2014;S;FDS
;08/06/2014;D;FDS
13/14;09/06/2014;L;
13/14;10/06/2014;M;
13/14;11/06/2014;X;
13/14;12/06/2014;J;
13/14;13/06/2014;V;
;14/06/2014;S;FDS
;15/06/2014;D;FDS
13/14;16/06/2014;L;
13/14;17/06/2014;M;
13/14;18/06/2014;X;
;19/06/2014;J;NL
13/14;20/06/2014;V;VISP VAC
;21/06/2014;S;FDS
;22/06/2014;D;FDS
;23/06/2014;L;VAC
;24/06/2014;M;VAC
;25/06/2014;X;VAC
;26/06/2014;J;VAC
;27/06/2014;V;VAC
;28/06/2014;S;FDS
;29/06/2014;D;FDS
;30/06/2014;L;VAC
;01/07/2014;M;VAC
;02/07/2014;X;VAC
;03/07/2014;J;VAC
;04/07/2014;V;VAC
;05/07/2014;S;FDS
;06/07/2014;D;FDS
;07/07/2014;L;
;08/07/2014;M;
;09/07/2014;X;
;10/07/2014;J;
;11/07/2014;V;
;12/07/2014;S;FDS
;13/07/2014;D;FDS
;14/07/2014;L;
;15/07/2014;M;
;16/07/2014;X;
;17/07/2014;J;
;18/07/2014;V;
;19/07/2014;S;FDS
;20/07/2014;D;FDS
;21/07/2014;L;
;22/07/2014;M;
;23/07/2014;X;
;24/07/2014;J;
;25/07/2014;V;
;26/07/2014;S;FDS
;27/07/2014;D;FDS
;28/07/2014;L;
;29/07/2014;M;
;30/07/2014;X;
;31/07/2014;J;
;01/08/2014;V;
;02/08/2014;S;FDS
;03/08/2014;D;FDS
;04/08/2014;L;
;05/08/2014;M;
;06/08/2014;X;
;07/08/2014;J;
;08/08/2014;V;
;09/08/2014;S;FDS
;10/08/2014;D;FDS
;11/08/2014;L;
;12/08/2014;M;
;13/08/2014;X;
;14/08/2014;J;
;15/08/2014;V;
;16/08/2014;S;FDS
;17/08/2014;D;FDS
;18/08/2014;L;
;19/08/2014;M;
;20/08/2014;X;
;21/08/2014;J;
;22/08/2014;V;
;23/08/2014;S;FDS
;24/08/2014;D;FDS
;25/08/2014;L;
;26/08/2014;M;
;27/08/2014;X;
;28/08/2014;J;
;29/08/2014;V;
;30/08/2014;S;FDS
;31/08/2014;D;FDS
;01/09/2014;L;
;02/09/2014;M;
;03/09/2014;X;
;04/09/2014;J;
;05/09/2014;V;
;06/09/2014;S;FDS
;07/09/2014;D;FDS
;08/09/2014;L;VAC
14/15;09/09/2014;M;VUELTA VAC
14/15;10/09/2014;X;
14/15;11/09/2014;J;
14/15;12/09/2014;V;
;13/09/2014;S;FDS
;14/09/2014;D;FDS
14/15;15/09/2014;L;
14/15;16/09/2014;M;
14/15;17/09/2014;X;
14/15;18/09/2014;J;
14/15;19/09/2014;V;
;20/09/2014;S;FDS
;21/09/2014;D;FDS
14/15;22/09/2014;L;
14/15;23/09/2014;M;
14/15;24/09/2014;X;
14/15;25/09/2014;J;
14/15;26/09/2014;V;
;27/09/2014;S;FDS
;28/09/2014;D;FDS
14/15;29/09/2014;L;
14/15;30/09/2014;M;
14/15;01/10/2014;X;
14/15;02/10/2014;J;
14/15;03/10/2014;V;
;04/10/2014;S;FDS
;05/10/2014;D;FDS
14/15;06/10/2014;L;
14/15;07/10/2014;M;
14/15;08/10/2014;X;
14/15;09/10/2014;J;
14/15;10/10/2014;V;
;11/10/2014;S;FDS
;12/10/2014;D;FDS
14/15;13/10/2014;L;
14/15;14/10/2014;M;
14/15;15/10/2014;X;
14/15;16/10/2014;J;
14/15;17/10/2014;V;
;18/10/2014;S;FDS
;19/10/2014;D;FDS
14/15;20/10/2014;L;
14/15;21/10/2014;M;
14/15;22/10/2014;X;
14/15;23/10/2014;J;
;24/10/2014;V;SD
;25/10/2014;S;FDS
;26/10/2014;D;FDS
14/15;27/10/2014;L;
14/15;28/10/2014;M;
14/15;29/10/2014;X;
14/15;30/10/2014;J;
;31/10/2014;V;FEST
;01/11/2014;S;FDS
;02/11/2014;D;FDS
14/15;03/11/2014;L;
14/15;04/11/2014;M;
14/15;05/11/2014;X;
14/15;06/11/2014;J;
14/15;07/11/2014;V;
;08/11/2014;S;FDS
;09/11/2014;D;FDS
14/15;10/11/2014;L;
14/15;11/11/2014;M;
14/15;12/11/2014;X;
14/15;13/11/2014;J;
14/15;14/11/2014;V;
;15/11/2014;S;FDS
;16/11/2014;D;FDS
14/15;17/11/2014;L;
14/15;18/11/2014;M;
14/15;19/11/2014;X;
14/15;20/11/2014;J;
14/15;21/11/2014;V;
;22/11/2014;S;FDS
;23/11/2014;D;FDS
14/15;24/11/2014;L;
14/15;25/11/2014;M;
14/15;26/11/2014;X;
14/15;27/11/2014;J;
;28/11/2014;V;NL
;29/11/2014;S;FDS
;30/11/2014;D;FDS
14/15;01/12/2014;L;
14/15;02/12/2014;M;
14/15;03/12/2014;X;
14/15;04/12/2014;J;
14/15;05/12/2014;V;
;06/12/2014;S;FDS
;07/12/2014;D;FDS
;08/12/2014;L;FEST
14/15;09/12/2014;M;
14/15;10/12/2014;X;
14/15;11/12/2014;J;
14/15;12/12/2014;V;
;13/12/2014;S;FDS
;14/12/2014;D;FDS
14/15;15/12/2014;L;
14/15;16/12/2014;M;
14/15;17/12/2014;X;
14/15;18/12/2014;J;
14/15;19/12/2014;V;VISP VAC
;20/12/2014;S;FDS
;21/12/2014;D;FDS
;22/12/2014;L;VAC
;23/12/2014;M;VAC
;24/12/2014;X;VAC
;25/12/2014;J;VAC
;26/12/2014;V;VAC
;27/12/2014;S;FDS
;28/12/2014;D;FDS
;29/12/2014;L;VAC
;30/12/2014;M;VAC
;31/12/2014;X;VAC
;01/01/2015;J;VAC
;02/01/2015;V;VAC
;03/01/2015;S;FDS
;04/01/2015;D;FDS
;05/01/2015;L;VAC
;06/01/2015;M;VAC
;07/01/2015;X;VAC
14/15;08/01/2015;J;VUELTA VAC
14/15;09/01/2015;V;
;10/01/2015;S;FDS
;11/01/2015;D;FDS
14/15;12/01/2015;L;
14/15;13/01/2015;M;
14/15;14/01/2015;X;
14/15;15/01/2015;J;
14/15;16/01/2015;V;
;17/01/2015;S;FDS
;18/01/2015;D;FDS
14/15;19/01/2015;L;
14/15;20/01/2015;M;
14/15;21/01/2015;X;
14/15;22/01/2015;J;
14/15;23/01/2015;V;
;24/01/2015;S;FDS
;25/01/2015;D;FDS
14/15;26/01/2015;L;
14/15;27/01/2015;M;
14/15;28/01/2015;X;
14/15;29/01/2015;J;
14/15;30/01/2015;V;
;31/01/2015;S;FDS
;01/02/2015;D;FDS
14/15;02/02/2015;L;
14/15;03/02/2015;M;
14/15;04/02/2015;X;
14/15;05/02/2015;J;
14/15;06/02/2015;V;
;07/02/2015;S;FDS
;08/02/2015;D;FDS
14/15;09/02/2015;L;
14/15;10/02/2015;M;
14/15;11/02/2015;X;
14/15;12/02/2015;J;
;13/02/2015;V;NL
;14/02/2015;S;FDS
;15/02/2015;D;FDS
14/15;16/02/2015;L;
14/15;17/02/2015;M;
14/15;18/02/2015;X;
14/15;19/02/2015;J;
14/15;20/02/2015;V;
;21/02/2015;S;FDS
;22/02/2015;D;FDS
14/15;23/02/2015;L;
14/15;24/02/2015;M;
14/15;25/02/2015;X;
14/15;26/02/2015;J;
14/15;27/02/2015;V;
;28/02/2015;S;FDS
;01/03/2015;D;FDS
14/15;02/03/2015;L;
14/15;03/03/2015;M;
14/15;04/03/2015;X;
14/15;05/03/2015;J;
14/15;06/03/2015;V;
;07/03/2015;S;FDS
;08/03/2015;D;FDS
14/15;09/03/2015;L;
14/15;10/03/2015;M;
14/15;11/03/2015;X;
14/15;12/03/2015;J;
;13/03/2015;V;NL
;14/03/2015;S;FDS
;15/03/2015;D;FDS
14/15;16/03/2015;L;
14/15;17/03/2015;M;
14/15;18/03/2015;X;
;19/03/2015;J;FEST
14/15;20/03/2015;V;
;21/03/2015;S;FDS
;22/03/2015;D;FDS
14/15;23/03/2015;L;
14/15;24/03/2015;M;
14/15;25/03/2015;X;
14/15;26/03/2015;J;VISP VAC
;27/03/2015;V;VAC
;28/03/2015;S;FDS
;29/03/2015;D;FDS
;30/03/2015;L;VAC
;31/03/2015;M;VAC
;01/04/2015;X;VAC
;02/04/2015;J;VAC
;03/04/2015;V;VAC
;04/04/2015;S;FDS
;05/04/2015;D;FDS
;06/04/2015;L;VAC
14/15;07/04/2015;M;VUELTA VAC
14/15;08/04/2015;X;
14/15;09/04/2015;J;
14/15;10/04/2015;V;
