7;5;301,6404;0;0;6;649;7;4;638;7;3;1703;7;2;1703;7;1;707
0;6;303,3473;0;0;7;707;7;5;649;7;4;638;7;3;1703;7;2;1940
0;7;303,7709;0;7;1;1940;0;6;707;7;5;649;7;4;638;7;3;1762
7;1;303,7148;0;7;2;1762;0;7;1940;0;6;707;7;5;649;7;4;610
7;2;303,6337;0;3;3;610;7;1;1762;0;7;1940;0;6;707;7;5;701
3;3;304,5806;0;3;4;701;7;2;610;7;1;1762;0;7;1940;0;6;520
3;4;303,9069;0;5;5;520;3;3;701;7;2;610;7;1;1762;0;7;592
5;5;305,6097;0;0;6;592;3;4;520;3;3;701;7;2;610;7;1;669
0;6;307,0539;0;0;7;669;5;5;592;3;4;520;3;3;701;7;2;1188
0;7;307,6914;0;4;1;1188;0;6;669;5;5;592;3;4;520;3;3;1228
4;1;307,2145;0;4;2;1228;0;7;1188;0;6;669;5;5;592;3;4;601
4;2;305,4888;0;4;3;601;4;1;1228;0;7;1188;0;6;669;5;5;586
4;3;303,8832;0;4;4;586;4;2;601;4;1;1228;0;7;1188;0;6;762
4;4;303,7879;0;4;5;762;4;3;586;4;2;601;4;1;1228;0;7;831
4;5;303,1496;9,536743;0;6;831;4;4;762;4;3;586;4;2;601;4;1;886
0;6;299,058;1139,641;0;7;886;4;5;831;4;4;762;4;3;586;4;2;1583
0;7;299,7223;0;4;1;1583;0;6;886;4;5;831;4;4;762;4;3;1452
4;1;298,8979;0;4;2;1452;0;7;1583;0;6;886;4;5;831;4;4;799
4;2;301,1376;0;4;3;799;4;1;1452;0;7;1583;0;6;886;4;5;842
4;3;299,3467;0;7;4;842;4;2;799;4;1;1452;0;7;1583;0;6;1182
7;4;299,8518;0;7;5;1182;4;3;842;4;2;799;4;1;1452;0;7;956
7;5;302,9702;0;0;6;956;7;4;1182;4;3;842;4;2;799;4;1;847
0;6;304,7566;15,25879;0;7;847;7;5;956;7;4;1182;4;3;842;4;2;1395
0;7;305,4895;0;7;1;1395;0;6;847;7;5;956;7;4;1182;4;3;1441
7;1;306,8623;0;7;2;1441;0;7;1395;0;6;847;7;5;956;7;4;738
7;2;306,2264;0;7;3;738;7;1;1441;0;7;1395;0;6;847;7;5;765
7;3;304,7189;2,861023;7;4;765;7;2;738;7;1;1441;0;7;1395;0;6;835
7;4;304,1191;0;7;5;835;7;3;765;7;2;738;7;1;1441;0;7;935
7;5;304,4148;0;0;6;935;7;4;835;7;3;765;7;2;738;7;1;946
0;6;304,3306;0;0;7;946;7;5;935;7;4;835;7;3;765;7;2;1479
0;7;301,3777;0;7;1;1479;0;6;946;7;5;935;7;4;835;7;3;1424
7;1;300,9646;0;7;2;1424;0;7;1479;0;6;946;7;5;935;7;4;937
7;2;304,6418;0;7;3;937;7;1;1424;0;7;1479;0;6;946;7;5;924
7;3;304,4675;0;7;4;924;7;2;937;7;1;1424;0;7;1479;0;6;983
7;4;304,4545;0;7;5;983;7;3;924;7;2;937;7;1;1424;0;7;854
7;5;303,98;0;0;6;854;7;4;983;7;3;924;7;2;937;7;1;1109
0;6;302,1165;0;0;7;1109;7;5;854;7;4;983;7;3;924;7;2;1951
0;7;302,7205;1,907349;7;1;1951;0;6;1109;7;5;854;7;4;983;7;3;1972
7;1;306,0479;0;7;2;1972;0;7;1951;0;6;1109;7;5;854;7;4;784
7;2;304,6024;0;7;3;784;7;1;1972;0;7;1951;0;6;1109;7;5;907
7;3;305,5047;0;7;4;907;7;2;784;7;1;1972;0;7;1951;0;6;998
7;4;305,6673;0;7;5;998;7;3;907;7;2;784;7;1;1972;0;7;870
7;5;306,0598;0;0;6;870;7;4;998;7;3;907;7;2;784;7;1;872
0;6;304,6656;0;0;7;872;7;5;870;7;4;998;7;3;907;7;2;1479
0;7;303,0266;0;7;1;1479;0;6;872;7;5;870;7;4;998;7;3;1652
7;1;305,151;0;7;2;1652;0;7;1479;0;6;872;7;5;870;7;4;882
7;2;306,287;0;7;3;882;7;1;1652;0;7;1479;0;6;872;7;5;787
7;3;308,4385;0;7;4;787;7;2;882;7;1;1652;0;7;1479;0;6;796
7;4;310,2951;0;7;5;796;7;3;787;7;2;882;7;1;1652;0;7;714
7;5;312,3455;0;0;6;714;7;4;796;7;3;787;7;2;882;7;1;675
